"year","spring","summer","autumn","winter","spring_delta","summer_delta","autumn_delta","winter_delta"
1960,"0.00","0.00","0.00","0.00","0","0","0","0"
1961,"0.10","0.10","0.20","0.30","0.1","0.1","0.2","0.3"
1962,"0.40","-0.20","0.30","0.30","0.3","-0.3","0.1","0"
1963,"0.20","-0.30","0.50","0.10","-0.2","-0.1","0.2","-0.2"
1964,"0.20","-0.40","0.60","0.50","0","-0.1","0.1","0.4"
1965,"0.20","-0.50","0.30","0.70","0","-0.1","-0.3","0.2"
1966,"0.60","-0.40","0.50","0.90","0.4","0.1","0.2","0.2"
1967,"0.90","-0.30","0.70","0.20","0.3","0.1","0.2","-0.7"
1968,"1.10","-0.20","0.50","-0.10","0.2","0.1","-0.2","-0.3"
1969,"0.90","-0.40","0.90","-0.70","-0.2","-0.2","0.4","-0.6"
1970,"1.00","-0.50","1.10","-1.00","0.1","-0.1","0.2","-0.3"
1971,"0.90","-0.60","1.00","-1.00","-0.1","-0.1","-0.1","0"
1972,"0.90","0.00","0.90","-1.20","0","0.6","-0.1","-0.2"
1973,"1.20","0.10","0.60","-0.70","0.3","0.1","-0.3","0.5"
1974,"1.30","-0.10","0.80","-0.50","0.1","-0.2","0.2","0.2"
1975,"1.90","0.00","0.90","-0.20","0.6","0.1","0.1","0.3"
1976,"1.50","-0.20","0.70","-0.20","-0.4","-0.2","-0.2","0"
1977,"1.40","-0.30","0.50","0.10","-0.1","-0.1","-0.2","0.3"
1978,"1.30","-0.50","0.60","0.00","-0.1","-0.2","0.1","-0.1"
1979,"1.60","-0.50","0.50","0.50","0.3","0","-0.1","0.5"
1980,"1.40","-0.50","0.50","0.60","-0.2","0","0","0.1"
1981,"1.50","-0.30","0.70","0.80","0.1","0.2","0.2","0.2"
1982,"1.50","-0.70","0.80","0.90","0","-0.4","0.1","0.1"
1983,"1.60","-0.90","1.00","1.00","0.1","-0.2","0.2","0.1"
1984,"1.90","-1.00","0.80","0.70","0.3","-0.1","-0.2","-0.3"
1985,"1.50","-1.00","0.70","0.20","-0.4","0","-0.1","-0.5"
1986,"1.70","-0.70","0.90","0.20","0.2","0.3","0.2","0"
1987,"1.40","-0.80","0.70","0.00","-0.3","-0.1","-0.2","-0.2"
1988,"1.50","-0.40","0.60","0.40","0.1","0.4","-0.1","0.4"
1989,"1.60","-0.30","0.60","0.90","0.1","0.1","0","0.5"
1990,"2.00","-0.30","0.60","1.40","0.4","0","0","0.5"
1991,"2.20","-0.50","0.60","1.30","0.2","-0.2","0","-0.1"
1992,"2.30","-0.40","0.50","1.50","0.1","0.1","-0.1","0.2"
1993,"2.10","-0.40","0.00","1.50","-0.2","0","-0.5","0"
1994,"1.80","-0.40","0.00","1.60","-0.3","0","0","0.1"
1995,"2.10","-0.30","0.20","2.10","0.3","0.1","0.2","0.5"
1996,"2.10","-0.30","0.40","2.10","0","0","0.2","0"
1997,"2.20","-0.20","0.50","2.50","0.1","0.1","0.1","0.4"
1998,"2.20","-0.30","0.40","2.50","0","-0.1","-0.1","0"
1999,"2.00","-0.20","0.30","2.40","-0.2","0.1","-0.1","-0.1"
2000,"2.00","0.00","0.40","2.30","0","0.2","0.1","-0.1"
2001,"2.00","0.10","0.40","2.10","0","0.1","0","-0.2"
2002,"2.20","0.20","0.40","2.00","0.2","0.1","0","-0.1"
2003,"2.10","0.30","0.80","1.80","-0.1","0.1","0.4","-0.2"
2004,"2.20","0.50","0.90","2.00","0.1","0.2","0.1","0.2"
2005,"2.00","0.50","1.00","2.00","-0.2","0","0.1","0"
2006,"1.80","0.50","1.00","2.20","-0.2","0","0","0.2"
2007,"2.20","0.60","1.20","2.30","0.4","0.1","0.2","0.1"
2008,"2.40","0.50","1.70","2.60","0.2","-0.1","0.5","0.3"
2009,"2.40","0.30","1.90","2.50","0","-0.2","0.2","-0.1"
2010,"2.50","0.70","1.90","1.80","0.1","0.4","0","-0.7"
2011,"2.50","0.90","2.00","2.00","0","0.2","0.1","0.2"
2012,"2.40","0.90","2.30","1.60","-0.1","0","0.3","-0.4"
2013,"2.40","1.10","2.40","1.80","0","0.2","0.1","0.2"
2014,"2.70","1.20","2.30","1.90","0.3","0.1","-0.1","0.1"
2015,"2.90","1.20","2.30","2.20","0.2","0","0","0.3"
2016,"3.20","1.40","2.00","2.40","0.3","0.2","-0.3","0.2"
2017,"2.90","1.20","2.10","2.50","-0.3","-0.2","0.1","0.1"
2018,"2.80","1.40","2.00","2.20","-0.1","0.2","-0.1","-0.3"
2019,"3.00","1.40","2.10","2.50","0.2","0","0.1","0.3"
2020,"2.90","1.00","2.30","3.40","-0.1","-0.4","0.2","0.9"
